City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
243,Khatanga,RU,71.9667,102.5,63.36,48,27,8.77,scattered clouds
244,Boddam,GB,57.4667,-1.7833,59.38,98,100,10.18,overcast clouds
245,Boundiali,CI,9.5217,-6.4869,70.61,90,100,1.95,overcast clouds
246,Nchelenge,ZM,-9.3451,28.734,73.15,34,0,5.41,clear sky
247,Fukue,JP,32.6881,128.8419,82.76,61,75,6.91,broken clouds
248,Kangaatsiaq,GL,68.3065,-53.4641,37.53,66,98,10.25,overcast clouds
249,The Valley,AI,18.217,-63.0578,84.06,79,2,18.03,clear sky
250,Mulchen,CL,-37.7167,-72.2333,45.77,97,89,2.91,overcast clouds
251,Itarema,BR,-2.9248,-39.9167,77.32,83,47,13.91,scattered clouds
252,Shache,CN,38.4167,77.2406,85.57,17,2,9.37,clear sky
253,Goderich,CA,43.7501,-81.7165,68.92,82,7,1.14,clear sky
254,Dharchula,IN,29.85,80.5333,83.98,69,22,6.49,few clouds
255,Avdon,RU,54.6667,55.7167,51.12,66,75,6.71,light rain
256,High Level,CA,58.5169,-117.136,59.11,82,90,6.91,light rain
257,Igarka,RU,67.4667,86.5833,58.91,53,100,22.37,overcast clouds
258,Tevaitoa,PF,-16.7833,-151.5,78.51,73,24,14.81,few clouds
259,Pizhanka,RU,57.4604,48.542,44.92,77,53,9.66,broken clouds
260,Athabasca,CA,54.7169,-113.2854,58.82,61,2,7.92,clear sky
261,Kattivakkam,IN,13.2167,80.3167,87.89,58,97,11.88,moderate rain
262,Viedma,AR,-40.8135,-62.9967,52.27,79,97,10.22,overcast clouds
263,Tura,IN,25.5198,90.2201,80.26,81,100,0.87,overcast clouds
264,Beloha,MG,-25.1667,45.05,77.13,37,0,12.28,clear sky
265,Marktoberdorf,DE,47.7833,10.6167,48.25,93,5,3.44,fog
266,Bafq,IR,31.6128,55.4107,90.14,11,0,8.48,clear sky
267,Sorong,ID,-0.8833,131.25,82.94,78,100,12.41,overcast clouds
268,Adrar,MR,20.5022,-10.0711,88.74,27,52,5.91,broken clouds
269,Norman Wells,CA,65.282,-126.8329,48.24,100,75,2.3,broken clouds
270,Green River,US,41.5286,-109.4662,66.18,21,0,5.19,clear sky
271,Turbat,PK,26.0023,63.044,94.41,40,41,3.53,scattered clouds
272,Shimoda,JP,34.6667,138.95,78.91,77,93,15.97,overcast clouds
273,Qui Nhon,VN,13.7667,109.2333,85.19,69,100,8.08,overcast clouds
274,Port Hawkesbury,CA,45.6169,-61.3485,56.79,93,90,1.01,overcast clouds
275,Dwarka,IN,22.2394,68.9678,83.03,77,100,9.64,overcast clouds
276,Lodja,CD,-3.4833,23.4333,75.94,74,45,2.24,scattered clouds
277,Verkhoyansk,RU,67.5447,133.385,65.41,37,49,13.47,scattered clouds
278,Tommot,RU,58.9564,126.2925,64.54,69,95,9.42,overcast clouds
279,Severo-Yeniseyskiy,RU,60.3725,93.0408,59.52,40,57,4.03,broken clouds
