City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
159,Mae Sai,TH,2021-09-05 20-05-26,20.4335,99.8762,71.42,99,79,1.14
160,Pisco,PE,2021-09-05 20-05-26,-13.7,-76.2167,66.25,72,0,8.05
161,Mar Del Plata,AR,2021-09-05 20-05-26,-38.0023,-57.5575,57.22,72,20,9.22
162,Zyryanovsk,KZ,2021-09-05 20-05-26,49.7386,84.2719,59.83,53,100,2.46
163,Iqaluit,CA,2021-09-05 20-05-27,63.7506,-68.5145,41.41,78,74,10.33
164,Meulaboh,ID,2021-09-05 20-05-27,4.1363,96.1285,76.68,84,98,3.74
165,Taldan,RU,2021-09-05 20-05-27,53.6667,124.8,55.31,97,100,2.15
166,Manokwari,ID,2021-09-05 20-05-28,-0.8667,134.0833,77.45,76,100,3.71
167,Kavieng,PG,2021-09-05 20-05-28,-2.5744,150.7967,80.71,79,71,9.06
168,Bousse,BF,2021-09-05 20-05-28,12.6606,-1.8922,85.62,51,74,2.73
169,Katsuura,JP,2021-09-05 20-05-28,35.1333,140.3,69.91,84,100,18.34
170,Cruz Alta,BR,2021-09-05 20-05-29,-28.6386,-53.6064,63.73,79,97,6.73
171,Victoria,HK,2021-09-05 20-05-29,22.2855,114.1577,84.33,83,6,1.01
172,Goundam,ML,2021-09-05 20-05-29,16.4145,-3.6708,98.62,26,60,0.89
173,Santana Do Livramento,BR,2021-09-05 20-04-13,-30.8908,-55.5328,67.84,65,87,5.08
174,Caravelas,BR,2021-09-05 20-05-30,-17.7125,-39.2481,76.39,84,0,9.64
175,Belmonte,BR,2021-09-05 20-05-30,-15.8631,-38.8828,79.3,83,14,9.55
176,Abu Kamal,SY,2021-09-05 20-05-30,34.4506,40.9171,88.43,20,0,6.62
177,Sokol,RU,2021-09-05 20-05-30,59.4617,40.1206,36.61,93,88,5.32
178,Sayyan,YE,2021-09-05 20-05-31,15.1718,44.3244,64.98,44,38,2.08
179,Saint-Philippe,RE,2021-09-05 20-05-31,-21.3585,55.7679,69.39,74,57,13.89
180,Broken Hill,AU,2021-09-05 20-05-31,-31.95,141.4333,42.71,90,5,9.6
181,Kaitangata,NZ,2021-09-05 20-05-32,-46.2817,169.8464,44.64,80,96,4.45
182,Codrington,AU,2021-09-05 20-05-32,-38.2667,141.9667,47.84,74,29,9.71
183,Nouadhibou,MR,2021-09-05 20-05-32,20.931,-17.0347,71.22,88,8,14.09
184,Ngorongoro,TZ,2021-09-05 20-05-33,-3.2397,35.4875,53.53,70,28,6.96
185,Banda Aceh,ID,2021-09-05 20-05-33,5.5577,95.3222,76.98,81,98,4.32
186,Surt,LY,2021-09-05 20-05-33,31.2089,16.5887,83.37,66,92,8.77
187,Voronovytsya,UA,2021-09-05 20-05-33,49.1095,28.6808,47.98,60,25,5.19
188,Floro,NO,2021-09-05 20-05-34,61.5996,5.0328,61.5,82,90,13.8
189,Guerrero Negro,MX,2021-09-05 20-05-34,27.9769,-114.0611,81.86,56,48,10.18
190,Xichang,CN,2021-09-05 20-05-34,27.8964,102.2634,65.64,93,97,1.3
191,Beira,MZ,2021-09-05 20-05-35,-19.8436,34.8389,73.08,88,0,9.28
192,Oktyabrskoye,RU,2021-09-05 20-05-35,43.0645,44.7417,55.54,100,98,4.47
193,Bethel,US,2021-09-05 20-05-35,41.3712,-73.414,71.04,92,90,4.61
194,Bongandanga,CD,2021-09-05 20-05-35,1.5,21.05,71.71,87,93,0.54
195,Tuktoyaktuk,CA,2021-09-05 20-05-36,69.4541,-133.0374,48.06,85,100,10.76
196,Berlevag,NO,2021-09-05 20-05-36,70.8578,29.0864,42.8,87,75,2.3
197,Harnosand,SE,2021-09-05 20-05-36,62.6323,17.9379,54.0,63,97,5.14
198,Oyan,NG,2021-09-05 20-05-37,8.05,4.7667,71.67,94,87,0.31
199,Copiapo,CL,2021-09-05 20-02-24,-27.3667,-70.3333,74.46,27,4,8.21
200,Getulio Vargas,UY,2021-09-05 20-05-37,-32.6796,-53.5494,64.36,69,88,6.22
201,Dzhebariki-Khaya,RU,2021-09-05 20-05-37,62.2167,135.8,36.79,77,48,2.06
202,Fukue,JP,2021-09-05 20-05-37,32.6881,128.8419,77.56,76,100,10.98
203,Adrar,MR,2021-09-05 20-05-38,20.5022,-10.0711,99.3,16,8,1.66
204,Lazaro Cardenas,MX,2021-09-05 20-05-38,17.9583,-102.2,83.79,72,96,9.06
205,Itacoatiara,BR,2021-09-05 20-05-38,-3.1431,-58.4442,85.01,66,82,3.0
206,Dombarovskiy,RU,2021-09-05 20-05-39,50.7587,59.5386,55.08,38,70,3.22
207,Lluta,PE,2021-09-05 20-05-39,-16.0147,-72.0142,62.87,30,12,10.71
208,Moose Factory,CA,2021-09-05 20-05-39,51.2585,-80.6094,62.58,82,90,13.8
209,Tyubuk,RU,2021-09-05 20-05-40,56.0552,60.9405,41.61,71,6,6.4
210,Sao Joao Da Barra,BR,2021-09-05 20-05-40,-21.6403,-41.0511,75.29,83,77,11.99
211,Hami,CN,2021-09-05 20-05-40,42.8,93.45,73.94,22,0,1.28
212,Cayenne,GF,2021-09-05 20-05-40,4.9333,-52.3333,87.84,77,0,5.01
213,Mezen,RU,2021-09-05 20-05-41,65.8522,44.24,43.23,91,100,8.57
214,Lavrentiya,RU,2021-09-05 20-05-41,65.5833,-171.0,38.52,62,26,3.36
215,Ketchikan,US,2021-09-05 20-05-41,55.3422,-131.6461,57.67,94,90,18.41
216,Provideniya,RU,2021-09-05 20-05-42,64.3833,-173.3,39.31,65,90,8.95
217,Torbay,CA,2021-09-05 20-05-31,47.6666,-52.7314,55.58,86,90,13.8
218,Hofn,IS,2021-09-05 20-05-42,64.2539,-15.2082,52.48,85,7,15.95
219,Ambon,ID,2021-09-05 20-05-43,-3.6954,128.1814,77.79,87,100,8.3
220,Port-Gentil,GA,2021-09-05 20-05-43,-0.7193,8.7815,75.88,85,100,13.96
221,Thanyaburi,TH,2021-09-05 20-05-43,14.0211,100.7343,79.99,98,20,0.0
222,Wanning,CN,2021-09-05 20-05-44,18.8003,110.3967,79.81,86,61,0.36
223,Ixtapa,MX,2021-09-05 20-01-43,20.7,-105.2,87.22,73,100,4.0
224,Wah,PK,2021-09-05 20-05-44,33.798,72.6957,85.01,53,0,5.84
225,Saskylakh,RU,2021-09-05 20-05-44,71.9167,114.0833,50.4,88,73,8.1
226,Port Blair,IN,2021-09-05 20-05-45,11.6667,92.75,80.64,83,95,15.9
227,Boa Vista,BR,2021-09-05 20-05-45,2.8197,-60.6733,80.58,78,40,5.75
228,Zhuanghe,CN,2021-09-05 20-05-45,39.7008,122.9911,68.65,74,100,11.77
229,Raahe,FI,2021-09-05 20-05-45,64.6833,24.4833,44.69,67,36,7.05
230,Meadow Lake,US,2021-09-05 20-05-46,34.8014,-106.5436,88.68,29,6,10.04
231,Coquimbo,CL,2021-09-05 20-02-54,-29.9533,-71.3436,59.41,72,41,10.54
232,Haines Junction,CA,2021-09-05 20-05-46,60.7522,-137.5108,53.19,74,100,5.59
233,Kununurra,AU,2021-09-05 20-04-10,-15.7667,128.7333,64.38,68,90,13.8
234,Puerto Carreno,CO,2021-09-05 20-05-46,6.189,-67.4859,82.09,76,100,9.93
235,Aklavik,CA,2021-09-05 20-05-47,68.2191,-135.0107,56.95,75,100,8.3
236,Kapuskasing,CA,2021-09-05 20-05-47,49.4169,-82.4331,58.48,81,91,8.7
237,Olafsvik,IS,2021-09-05 20-05-47,64.8945,-23.7142,50.47,82,7,26.28
238,Osakarovka,KZ,2021-09-05 20-05-47,50.565,72.5692,57.6,48,39,6.85
239,Kushima,JP,2021-09-05 20-05-48,31.4583,131.2333,74.73,95,88,3.87
240,Severo-Kurilsk,RU,2021-09-05 20-05-48,50.6789,156.125,51.94,90,45,10.25
241,Kurilsk,RU,2021-09-05 20-05-48,45.2333,147.8833,52.74,83,0,1.5
242,Cerrik,AL,2021-09-05 20-05-49,41.0317,19.9758,69.35,49,96,4.0
243,Mana,GF,2021-09-05 20-05-49,5.6592,-53.7767,83.39,74,92,11.81
244,Macusani,PE,2021-09-05 20-05-49,-14.0833,-70.4333,48.47,49,40,13.65
245,Norman Wells,CA,2021-09-05 20-05-50,65.282,-126.8329,59.04,88,90,9.22
246,Plaster Rock,CA,2021-09-05 20-05-50,46.9065,-67.39,64.92,50,99,8.34
247,Houston,US,2021-09-05 20-04-36,29.7633,-95.3633,99.34,50,40,3.0
248,Sidney,AU,2021-09-05 20-04-20,-33.8679,151.2073,48.63,71,0,1.01
249,Hay River,CA,2021-09-05 20-05-50,60.8156,-115.7999,68.52,52,100,4.88
250,San Patricio,US,2021-09-05 20-05-51,28.017,-97.5169,100.49,34,0,10.74
251,Koslan,RU,2021-09-05 20-05-51,63.4564,48.8989,41.09,96,100,10.04
252,Denpasar,ID,2021-09-05 20-05-51,-8.65,115.2167,78.46,89,40,2.3
253,Bamiantong,CN,2021-09-05 20-05-52,44.9333,130.5333,52.7,75,0,2.51
254,Novyy Urgal,RU,2021-09-05 20-05-52,51.0736,132.5642,51.87,95,99,0.85
255,Lamu,KE,2021-09-05 20-05-52,-2.2717,40.902,77.22,83,56,15.1
256,Lardos,GR,2021-09-05 20-05-53,36.0942,28.0157,79.95,65,0,14.18
257,Yar-Sale,RU,2021-09-05 20-05-53,66.8333,70.8333,48.43,67,6,8.79
258,Heihe,CN,2021-09-05 20-05-53,50.2441,127.4902,50.58,91,100,1.83
259,Chuy,UY,2021-09-05 20-05-54,-33.6971,-53.4616,58.87,85,78,7.23
260,Ampanihy,MG,2021-09-05 20-05-54,-24.7,44.75,73.38,43,0,10.0
261,Huntingdon,GB,2021-09-05 20-05-54,52.3305,-0.1865,69.19,72,21,1.99
262,Pobe,BJ,2021-09-05 20-05-54,6.9801,2.6649,74.39,94,98,5.55
263,Leningradskiy,RU,2021-09-05 20-05-55,69.3833,178.4167,30.67,77,83,25.48
264,Cockburn Town,TC,2021-09-05 20-05-55,21.4612,-71.1419,85.96,70,40,13.8
265,Pimentel,PE,2021-09-05 20-05-55,-6.8367,-79.9342,68.29,68,0,20.71
266,Zhanaozen,KZ,2021-09-05 20-05-56,43.3,52.8,73.24,22,100,14.61
267,Shingu,JP,2021-09-05 20-05-56,33.7333,135.9833,75.9,92,89,5.88
268,Mount Pleasant,US,2021-09-05 20-05-56,32.7941,-79.8626,89.1,67,40,1.01
269,Gorom-Gorom,BF,2021-09-05 20-05-56,14.4439,-0.2361,91.33,38,36,8.14
270,Turayf,SA,2021-09-05 20-05-57,31.6725,38.6637,83.34,20,0,8.81
271,Ust-Omchug,RU,2021-09-05 20-05-57,61.15,149.6333,13.66,92,19,4.81
272,Husavik,IS,2021-09-05 20-05-57,66.0449,-17.3389,52.65,76,89,0.85
273,Port Hardy,CA,2021-09-05 20-05-58,50.6996,-127.4199,61.54,74,64,4.34
274,Tubuala,PA,2021-09-05 20-05-58,9.5167,-79.0333,84.31,80,100,5.39
275,Songea,TZ,2021-09-05 20-05-58,-10.6833,35.65,60.26,65,0,1.52
276,Altamont,US,2021-09-05 20-05-59,42.2068,-121.7372,90.79,16,1,1.99
277,Tommot,RU,2021-09-05 20-05-59,58.9564,126.2925,42.76,92,100,6.82
278,Matagami,CA,2021-09-05 20-05-59,49.7502,-77.6328,62.76,72,99,4.68
279,Kruisfontein,ZA,2021-09-05 20-06-00,-34.0033,24.7314,56.88,79,38,18.14
280,Noumea,NC,2021-09-05 20-06-00,-22.2763,166.4572,60.78,74,71,6.71
281,Mehamn,NO,2021-09-05 20-06-00,71.0357,27.8492,46.58,93,75,5.75
282,Dawson Creek,CA,2021-09-05 20-06-00,55.7666,-120.2362,64.85,48,28,24.16
283,Malanje,AO,2021-09-05 20-06-01,-9.5402,16.341,77.07,48,94,9.69
284,Faanui,PF,2021-09-05 20-03-29,-16.4833,-151.75,78.78,74,19,16.08
285,Malakal,SS,2021-09-05 20-06-01,9.5334,31.6605,69.71,98,39,3.85
286,Orumiyeh,IR,2021-09-05 20-06-01,37.5527,45.0761,66.74,19,0,7.7
287,Luderitz,NA,2021-09-05 20-06-02,-26.6481,15.1594,57.22,70,100,22.32
288,Lompoc,US,2021-09-05 20-06-02,34.6391,-120.4579,91.56,57,1,4.0
289,Tadine,NC,2021-09-05 20-06-02,-21.55,167.8833,69.62,79,2,7.92
290,Souillac,MU,2021-09-05 20-06-03,-20.5167,57.5167,71.37,72,84,17.87
291,Bonavista,CA,2021-09-05 20-06-03,48.6499,-53.1147,55.11,83,100,19.17
292,Zabolotovka,RU,2021-09-05 20-06-03,50.2737,39.3147,47.41,63,4,5.01
293,Baykit,RU,2021-09-05 20-06-04,61.67,96.37,45.21,92,31,2.73
